Species	Status	min_age	max_age
Smilosuchus adamanensis	extinct	205.7	227.3
Calyptosuchus wellesi	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Calyptosuchus wellesi	extinct	205.7	227.3
Trilophosaurus buettneri	extinct	205.7	227.3
Proganochelys tenertesta	extinct	205.7	227.3
Saurorictus australis	extinct	254.14	259.51
Bunostegos akokanensis	extinct	251.902	254.14
Captorhinus laticeps	extinct	274.4	290.1
Odontochelys semitestacea	extinct	227.3	233.6
Qianichthyosaurus zhoui	extinct	227.3	233.6
Guizhouichthyosaurus tangae	extinct	227.3	233.6
Guanlingsaurus liangae	extinct	227.3	233.6
Sinocyamodus xinpuensis	extinct	227.3	233.6
Psephochelys polyosteoderma	extinct	227.3	233.6
Anshunsaurus huangguoshuensis	extinct	227.3	233.6
Xinpusaurus suni	extinct	227.3	233.6
Xinpusaurus bamaolinensis	extinct	227.3	233.6
Captorhinus laticeps	extinct	274.4	290.1
Moradisaurus grandis	extinct	251.902	254.14
Captorhinus magnus	extinct	283.3	290.1
Captorhinus aguti	extinct	274.4	290.1
Labidosaurus hamatus	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Captorhinus aguti	extinct	274.4	283.3
Bashkyroleter bashkyricus	extinct	264.28	266.9
Weigeltisaurus jaekeli	extinct	254.14	259.51
Sierritasuchus macalpini	extinct	205.7	237
Smok wawelski	extinct	201.4	227.3
Emeroleter levis	extinct	259.51	264.28
Belebey maximi	extinct	264.28	266.9
Protorosaurus speneri	extinct	254.14	259.51
Weigeltisaurus jaekeli	extinct	254.14	259.51
Labidosaurikos meachami	extinct	274.4	283.3
Kadimakara australiensis	extinct	249.9	251.902
Kudnu mackinlayi	extinct	249.9	251.902
Rhynchosauroides articeps	extinct	241.464	246.7
Zanclodon crenatus	extinct	237	241.464
Corosaurus alcovensis	extinct	246.7	248.1
Euparkeria capensis	extinct	241.464	246.7
Mesosuchus browni	extinct	241.464	246.7
Euparkeria capensis	extinct	241.464	246.7
Phaanthosaurus ignatjevi	extinct	249.9	251.902
Anomoiodon liliensterni	extinct	244.99	246.7
Macroleter agilis	extinct	264.28	274.4
Archosaurus rossicus	extinct	256.8	259.51
Pintosaurus magnidentis	extinct	201.4	237
